,10 chunks/story
4659,"[[11, 2, 0, 1, 0, 0, 0, 0, 0, 0], [18, 2, 2, 0, 0, 1, 0, 0, 0, 0], [8, 1, 1, 3, 0, 0, 1, 0, 0, 0], [13, 1, 2, 0, 0, 0, 0, 0, 0, 0], [14, 0, 1, 0, 0, 0, 1, 0, 0, 0], [10, 3, 2, 0, 0, 0, 3, 0, 0, 0], [16, 0, 2, 0, 0, 2, 1, 0, 0, 0], [12, 0, 3, 0, 0, 1, 1, 1, 0, 0], [9, 1, 2, 1, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4296,"[[4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 1, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 2, 0, 0, 0, 0], [3, 0, 0, 2, 0, 0, 0, 0, 0, 0], [2, 0, 2, 1, 0, 0, 0, 0, 0, 0], [1, 2, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 1, 0, 0, 0, 0, 0, 0, 0], [4, 1, 1, 0, 0, 0, 0, 0, 0, 0]]"
628,"[[5, 1, 1, 1, 1, 0, 0, 0, 0, 0], [3, 0, 0, 0, 2, 0, 0, 0, 0, 0], [4, 3, 1, 2, 1, 0, 0, 0, 0, 0], [4, 2, 0, 1, 1, 0, 0, 0, 0, 0], [4, 0, 0, 0, 2, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 1, 0, 0, 0, 0, 0, 0], [6, 0, 1, 1, 0, 0, 0, 0, 0, 0], [5, 0, 1, 2, 1, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 0, 0]]"
629,"[[7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 2, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 1, 2, 0, 0, 1, 0, 0], [9, 1, 0, 2, 0, 0, 0, 0, 0, 0], [9, 0, 1, 1, 0, 1, 0, 0, 0, 0], [11, 0, 0, 1, 1, 0, 0, 1, 0, 0], [10, 0, 0, 5, 0, 0, 0, 0, 0, 0], [9, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3440,"[[3, 2, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 2, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3441,"[[17, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13, 1, 0, 0, 1, 0, 0, 0, 0, 0], [6, 5, 0, 0, 0, 0, 1, 0, 0, 1], [13, 1, 0, 0, 0, 0, 1, 0, 0, 1], [12, 0, 0, 0, 0, 0, 0, 0, 0, 0], [16, 0, 0, 0, 0, 0, 0, 0, 0, 0], [17, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [13, 2, 0, 2, 0, 2, 0, 0, 0, 0], [2, 1, 0, 1, 0, 0, 0, 0, 0, 0]]"
3442,"[[6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 1], [3, 0, 0, 0, 0, 0, 0, 0, 0, 2], [3, 2, 0, 0, 0, 0, 0, 0, 0, 1], [5, 2, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 1, 0, 0, 0, 0], [3, 1, 0, 2, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3443,"[[6, 2, 1, 1, 0, 0, 0, 0, 0, 0], [12, 0, 0, 0, 1, 0, 0, 0, 0, 0], [9, 0, 0, 1, 1, 0, 0, 0, 0, 0], [13, 0, 0, 0, 1, 0, 0, 0, 1, 0], [12, 0, 1, 0, 3, 0, 0, 0, 0, 0], [9, 1, 1, 1, 1, 0, 0, 0, 0, 0], [11, 1, 0, 0, 1, 0, 0, 1, 0, 0], [7, 0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 1, 0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
7136,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 3, 0, 0, 0, 0, 0, 0], [4, 1, 2, 0, 2, 1, 0, 1, 0, 0], [4, 1, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 1, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [9, 0, 0, 2, 0, 2, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 3, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
7137,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 5, 0, 0, 0, 0, 0, 0], [4, 0, 1, 1, 0, 2, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 1, 0, 0, 0, 0, 0, 0], [8, 0, 0, 1, 0, 1, 0, 0, 0, 0], [3, 0, 0, 2, 0, 1, 0, 0, 0, 0], [3, 0, 1, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
7138,"[[8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 2, 0, 1], [9, 1, 0, 0, 0, 0, 2, 0, 0, 0], [8, 2, 0, 0, 0, 0, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 1, 0, 0, 1], [9, 0, 0, 0, 0, 1, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 0, 0, 0, 1], [5, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
