,10 chunks/story
13674,"[[4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 1], [4, 1, 0, 1, 0, 1, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 3, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13675,"[[10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 1, 0, 1], [7, 1, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 0, 1], [7, 2, 0, 0, 0, 0, 0, 0, 0, 0], [12, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 1, 1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
6628,"[[10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 1, 1, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 1, 0, 1], [7, 1, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 0, 0, 0, 0, 0, 0, 1], [7, 2, 0, 0, 0, 0, 0, 0, 0, 0], [12, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 1, 1, 0, 0, 0, 1, 0, 0, 0], [8, 0, 3, 0, 0, 0, 0, 0, 0, 0]]"
6629,"[[4, 1, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 1, 0, 0, 0, 0, 0], [3, 2, 0, 1, 0, 1, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 1, 0, 0, 0, 0, 0], [7, 1, 0, 1, 0, 0, 1, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
12866,"[[7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [6, 1, 0, 0, 2, 0, 0, 1, 0, 0], [1, 3, 1, 0, 1, 0, 1, 0, 0, 0], [7, 0, 0, 0, 0, 0, 1, 0, 0, 0], [11, 0, 1, 1, 0, 0, 1, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 0, 1, 0, 1, 0, 1, 0, 0, 0], [5, 0, 2, 1, 0, 0, 0, 0, 0, 0], [6, 0, 3, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
12867,"[[4, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 1, 1, 1, 0, 0, 0, 0, 0, 0], [2, 1, 1, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 1, 2, 0, 1, 0, 0, 0, 0, 0], [2, 3, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0, 0, 0, 0]]"
6642,"[[8, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 1, 0, 0, 0, 0, 0, 0], [8, 0, 0, 1, 1, 0, 0, 0, 0, 0], [7, 1, 0, 1, 0, 0, 0, 0, 0, 0], [8, 1, 0, 2, 0, 0, 0, 0, 0, 0], [6, 2, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 1, 0, 2, 0, 0, 0, 0], [10, 0, 0, 1, 0, 1, 0, 0, 0, 0], [10, 0, 0, 0, 0, 1, 0, 0, 1, 0], [3, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
6644,"[[3, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 1, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 1, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 2, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 1, 0, 0, 0, 0, 0, 0], [2, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
6645,"[[5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 1, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 1, 0, 0, 0, 0], [3, 0, 2, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
6647,"[[6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 1, 0, 1, 0, 0, 0], [6, 0, 1, 0, 1, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 1, 0, 0, 0], [5, 0, 0, 0, 0, 0, 1, 0, 0, 0], [5, 0, 1, 0, 1, 0, 1, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 0, 1, 0, 0, 0, 0, 0], [6, 0, 1, 0, 2, 0, 0, 0, 0, 0]]"
12871,"[[17, 1, 0, 0, 0, 1, 0, 0, 0, 0], [9, 1, 2, 0, 0, 1, 1, 0, 0, 0], [12, 0, 3, 0, 0, 0, 0, 0, 0, 0], [15, 1, 1, 0, 0, 1, 0, 0, 0, 0], [16, 0, 0, 0, 0, 0, 0, 0, 0, 0], [21, 1, 1, 1, 0, 2, 0, 0, 0, 0], [18, 1, 0, 0, 0, 0, 1, 0, 0, 0], [10, 0, 2, 0, 0, 0, 2, 0, 0, 0], [9, 3, 1, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
