,10 chunks/story
13252,"[[6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 2, 0, 0, 1, 0, 0, 2, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 1, 0, 0], [3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 2, 1, 0, 0, 2, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13253,"[[5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 1, 0, 0], [6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 2, 1, 1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 1, 0, 0]]"
13178,"[[13, 0, 0, 0, 0, 0, 0, 1, 0, 0], [10, 3, 0, 1, 1, 0, 0, 0, 0, 0], [11, 2, 0, 1, 0, 0, 0, 0, 0, 0], [11, 0, 1, 2, 2, 0, 0, 0, 0, 0], [8, 1, 0, 0, 0, 0, 0, 0, 0, 1], [19, 0, 0, 0, 0, 2, 0, 0, 0, 0], [15, 0, 0, 0, 1, 0, 0, 0, 1, 0], [19, 1, 3, 0, 0, 1, 0, 0, 0, 0], [13, 0, 1, 0, 0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4954,"[[18, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 3, 1, 2, 0, 1, 0, 1, 0, 0], [13, 6, 0, 0, 0, 0, 0, 0, 0, 0], [12, 1, 0, 0, 0, 1, 0, 0, 0, 0], [12, 3, 2, 2, 0, 2, 0, 0, 0, 0], [18, 0, 2, 1, 0, 0, 0, 0, 0, 0], [16, 0, 4, 3, 0, 0, 0, 0, 0, 0], [15, 0, 0, 1, 0, 1, 0, 0, 0, 0], [11, 0, 5, 3, 0, 0, 0, 0, 0, 0], [11, 0, 1, 2, 0, 0, 0, 0, 0, 0]]"
13180,"[[12, 0, 1, 2, 0, 0, 0, 0, 0, 0], [7, 0, 0, 1, 0, 0, 0, 0, 0, 0], [6, 3, 0, 0, 0, 0, 0, 0, 0, 0], [2, 1, 1, 1, 0, 2, 0, 0, 0, 0], [7, 3, 0, 1, 0, 0, 0, 0, 0, 0], [12, 1, 0, 1, 1, 0, 0, 0, 0, 0], [9, 0, 1, 1, 0, 0, 0, 0, 0, 0], [4, 0, 3, 0, 0, 1, 0, 0, 0, 0], [8, 0, 2, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13182,"[[12, 0, 1, 0, 0, 0, 0, 0, 0, 0], [17, 2, 1, 0, 2, 0, 0, 0, 0, 0], [15, 0, 0, 0, 1, 0, 1, 0, 0, 0], [11, 0, 1, 0, 0, 0, 1, 0, 0, 0], [16, 0, 0, 0, 0, 0, 1, 0, 0, 0], [17, 0, 0, 0, 2, 0, 0, 0, 0, 1], [12, 3, 0, 1, 0, 0, 0, 0, 0, 0], [11, 0, 3, 1, 0, 0, 0, 0, 0, 0], [9, 0, 2, 0, 1, 0, 0, 0, 0, 0], [14, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13183,"[[5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 2, 1, 0, 0, 0, 0, 0, 0], [3, 1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 5, 1, 0, 0, 0, 0, 0, 0, 0], [3, 1, 2, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 2, 0, 0, 0], [0, 2, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13184,"[[3, 0, 2, 0, 0, 0, 0, 1, 0, 0], [3, 2, 2, 2, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 0, 1, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 1, 0, 1, 0, 0, 0, 0, 0], [3, 2, 0, 0, 1, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
4961,"[[8, 2, 2, 0, 0, 0, 0, 1, 0, 0], [12, 2, 0, 0, 2, 0, 0, 1, 0, 0], [7, 2, 0, 1, 1, 0, 0, 0, 0, 0], [6, 4, 0, 0, 1, 0, 0, 1, 0, 0], [10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [14, 0, 0, 1, 2, 0, 0, 0, 0, 0], [8, 0, 0, 0, 1, 0, 0, 0, 0, 0], [14, 0, 1, 1, 1, 0, 0, 0, 0, 0], [9, 0, 3, 2, 1, 1, 0, 0, 0, 0], [1, 2, 2, 0, 1, 0, 0, 0, 0, 0]]"
4964,"[[4, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 1, 0, 0, 0, 0, 0], [2, 1, 1, 0, 1, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0]]"
13186,"[[3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 2, 3, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13188,"[[6, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 2, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
2753,"[[2, 0, 2, 0, 0, 0, 0, 0, 0, 0], [1, 0, 3, 0, 1, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 3, 0, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 2, 1, 0, 0, 0, 0, 0, 0, 0]]"
