,10 chunks/story
4721,"[[7, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 2, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 1, 0, 1, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 1, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 1, 0, 0, 0, 0, 0], [1, 4, 0, 0, 0, 0, 0, 0, 0, 0]]"
12066,"[[6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 1, 0, 0, 2, 0, 0], [4, 1, 1, 0, 0, 0, 0, 0, 0, 0], [3, 2, 1, 0, 0, 0, 0, 0, 0, 0], [1, 4, 0, 1, 0, 0, 0, 0, 0, 0], [0, 4, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 1, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
13453,"[[8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 1, 0, 1, 0, 0, 0, 0, 0], [6, 3, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 0, 1, 0, 0, 0, 0, 0], [6, 1, 0, 0, 3, 0, 1, 0, 0, 0], [12, 1, 0, 0, 0, 0, 1, 0, 0, 0], [7, 0, 0, 0, 1, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13454,"[[7, 0, 1, 1, 1, 1, 0, 0, 0, 0], [7, 1, 0, 0, 0, 0, 1, 0, 0, 0], [4, 4, 0, 0, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 0, 2, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 2, 0, 1, 0, 0, 0], [3, 2, 0, 0, 0, 0, 2, 0, 0, 0], [9, 0, 1, 0, 2, 0, 0, 0, 0, 0], [3, 3, 1, 0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]]"
13455,"[[12, 2, 1, 1, 1, 0, 1, 0, 0, 0], [11, 2, 1, 0, 0, 0, 1, 0, 0, 0], [20, 0, 2, 0, 1, 0, 0, 0, 0, 0], [16, 3, 4, 0, 1, 0, 0, 0, 0, 0], [13, 2, 1, 0, 0, 0, 1, 0, 0, 0], [17, 2, 0, 0, 1, 0, 1, 0, 0, 0], [15, 3, 0, 0, 0, 0, 1, 0, 0, 0], [19, 2, 2, 1, 0, 0, 0, 0, 0, 0], [15, 2, 1, 0, 1, 0, 0, 0, 0, 0], [16, 1, 2, 0, 2, 0, 0, 0, 0, 0]]"
13456,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 0, 0, 0, 0], [7, 0, 0, 0, 2, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 0, 1, 0, 0, 0, 0, 0], [9, 0, 0, 1, 0, 0, 0, 0, 0, 0], [6, 0, 0, 1, 0, 0, 0, 0, 0, 0], [4, 0, 0, 1, 0, 0, 1, 0, 0, 0], [3, 0, 1, 2, 0, 0, 0, 0, 0, 0], [4, 0, 2, 0, 0, 0, 0, 0, 0, 0]]"
2451,"[[9, 0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 1, 0, 2, 1, 0, 0, 0, 0, 0], [3, 2, 2, 0, 0, 0, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [8, 0, 0, 0, 0, 1, 0, 0, 0, 0], [5, 0, 0, 0, 1, 0, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 0, 0, 0, 1, 0], [3, 2, 4, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
2452,"[[19, 0, 2, 0, 0, 0, 0, 0, 0, 0], [17, 1, 9, 0, 0, 0, 0, 1, 0, 0], [23, 3, 6, 2, 2, 0, 0, 2, 0, 0], [27, 0, 2, 1, 0, 6, 0, 0, 0, 0], [20, 1, 3, 1, 1, 0, 0, 2, 0, 0], [22, 2, 6, 1, 3, 1, 0, 5, 0, 0], [26, 3, 1, 0, 1, 1, 0, 3, 1, 0], [24, 0, 0, 1, 0, 1, 0, 0, 1, 0], [23, 0, 2, 4, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13147,"[[3, 2, 1, 1, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 1, 1, 0, 0, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0, 0, 0, 0, 0], [6, 0, 0, 1, 0, 1, 0, 0, 0, 0], [7, 0, 0, 1, 0, 1, 0, 0, 0, 0], [7, 0, 0, 2, 0, 1, 0, 0, 0, 0], [5, 0, 1, 0, 1, 1, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
13148,"[[5, 0, 0, 1, 0, 0, 0, 0, 0, 0], [7, 1, 0, 0, 1, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0, 1, 0, 0, 0], [10, 1, 0, 0, 1, 1, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0, 0, 0, 1, 0], [8, 0, 1, 0, 0, 0, 1, 0, 0, 0], [6, 0, 0, 3, 0, 1, 0, 0, 0, 0], [5, 1, 0, 1, 0, 0, 0, 0, 0, 0], [9, 0, 0, 1, 2, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
