,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
328,103,32,8,1,2,0,0,1,0,2
329,64,3,6,5,0,4,0,3,0,0
330,66,5,0,7,5,7,0,5,0,0
331,122,4,10,1,9,12,0,0,0,0
332,52,12,8,3,5,1,0,7,0,0
333,100,9,3,12,9,14,0,7,1,0
334,22,6,1,1,9,0,0,0,0,0
335,64,9,4,4,0,3,0,1,0,0
336,57,8,2,2,10,0,1,0,0,0
337,68,6,6,6,0,0,1,0,0,0
338,24,1,1,2,0,2,0,1,0,0
339,64,3,6,8,0,6,0,2,1,0
340,39,9,2,3,3,3,0,1,0,0
341,109,10,1,18,5,4,1,0,0,0
342,58,9,5,6,2,3,0,0,0,2
343,103,14,8,2,0,6,2,3,0,0
344,56,6,4,3,0,3,0,1,0,0
345,103,1,15,6,0,1,1,0,1,0
346,52,8,19,6,3,1,0,0,0,6
347,55,4,0,2,2,2,1,3,0,0
348,66,12,3,8,1,2,0,1,1,0
349,23,3,2,4,0,0,0,0,0,0
350,57,4,2,4,0,1,0,0,0,0
351,54,5,1,2,3,1,0,1,0,0
352,101,24,4,3,6,0,2,0,2,0
353,73,3,4,0,6,0,4,1,0,0
354,45,11,2,4,2,1,0,4,0,0
355,34,16,2,2,2,4,0,1,0,0
356,85,11,7,11,4,4,0,5,1,0
357,80,7,4,0,0,4,0,0,2,0
358,167,15,11,0,0,28,12,2,1,0
359,27,7,3,2,0,0,0,0,1,0
360,110,9,4,4,4,2,0,4,1,0
361,71,4,6,6,5,4,0,1,0,0
362,63,6,1,1,2,2,1,2,0,0
363,72,8,8,1,1,4,0,0,0,0
364,56,1,4,1,2,0,3,0,0,0
365,72,0,4,4,1,0,0,0,1,0
366,35,7,4,0,0,0,1,3,0,0
367,59,2,4,3,0,2,0,4,0,0
368,56,14,1,1,0,0,6,0,0,0
369,95,9,6,8,7,0,0,5,1,0
370,79,7,8,5,2,4,0,0,0,0
371,79,7,8,5,2,4,0,0,0,0
372,109,3,4,5,0,6,0,1,0,0
373,187,19,1,17,2,4,2,0,4,10
374,45,21,4,0,0,1,10,1,0,0
375,54,5,1,0,0,1,3,2,0,0
376,50,2,4,6,0,0,0,0,0,0
377,36,6,6,0,8,1,0,0,0,0
378,28,4,4,6,4,1,0,1,0,0
379,19,4,3,2,0,0,0,1,0,0
380,50,8,1,4,0,2,0,1,0,0
381,122,8,2,9,10,5,0,0,0,0
382,46,4,6,3,4,4,0,1,0,0
383,61,2,1,6,1,0,0,1,0,0
384,27,0,0,2,0,1,0,0,0,0
385,86,15,2,0,0,0,7,2,0,0
386,42,11,4,4,1,4,0,0,0,0
387,25,6,4,4,5,2,0,2,0,0
388,135,12,2,0,0,0,3,0,0,2
389,95,1,6,4,0,4,0,1,0,0
390,63,1,4,2,2,2,0,0,1,0
391,116,5,5,6,1,6,0,3,2,0
392,68,2,4,4,3,6,0,0,1,0
393,109,16,14,11,6,7,0,1,0,0
394,47,6,4,2,0,0,0,3,0,0
395,50,0,3,0,0,5,3,1,0,0
396,13,22,2,0,4,0,0,0,0,0
397,72,7,6,0,1,0,3,1,0,0
398,121,19,8,12,9,7,0,1,2,0
399,7,11,0,0,0,0,3,2,0,1
400,112,5,7,3,0,5,0,0,0,0
401,89,10,5,8,3,5,0,3,0,0
402,86,3,4,1,2,0,1,0,0,0
403,28,3,3,3,2,1,0,2,1,0
404,128,21,8,6,8,9,0,7,2,0
405,38,12,1,8,2,2,0,0,0,0
406,67,7,3,3,0,2,0,0,0,0
407,94,4,8,0,0,0,0,1,0,0
408,25,2,4,0,0,2,2,0,1,0
409,77,25,1,10,8,1,1,2,0,0
410,34,4,4,4,2,2,0,0,0,0
411,34,1,5,3,0,1,2,3,0,0
412,136,2,8,0,0,0,3,0,0,1
413,73,3,0,3,0,2,0,1,0,0
414,149,3,8,12,5,1,0,4,0,0
415,42,8,1,1,7,0,0,0,1,0
416,109,10,10,4,6,0,0,0,0,0
417,25,7,5,5,2,0,0,0,0,0
418,95,7,1,6,0,5,0,3,2,0
419,96,7,6,7,1,8,0,4,0,0
420,61,9,3,1,3,1,0,0,0,0
421,61,9,3,1,3,1,0,0,0,0
422,61,9,3,1,3,1,0,0,0,0
423,61,9,3,1,3,1,0,0,0,0
424,61,9,3,1,3,1,0,0,0,0
425,61,9,3,1,3,1,0,0,0,0
426,61,9,3,1,3,1,0,0,0,0
427,61,9,3,1,3,1,0,0,0,0
428,61,9,3,1,3,1,0,0,0,0
429,61,9,3,1,3,1,0,0,0,0
